,Chave,Valor
1727,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-09-01_end_2023-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-59dot38493848728926_-10dot58869356852333_-59dot38132522615279_-10dot583135717239479/eopatch_0_col-0_row-0,root path '/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-09-01_end_2023-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-59dot38493848728926_-10dot58869356852333_-59dot38132522615279_-10dot583135717239479/eopatch_0_col-0_row-0' does not exist
1728,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-09-01_end_2023-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-53dot49594281071535_-10dot382917716910201_-53dot48300008579305_-10dot374094227125818/eopatch_0_col-0_row-0,root path '/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-09-01_end_2023-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-53dot49594281071535_-10dot382917716910201_-53dot48300008579305_-10dot374094227125818/eopatch_0_col-0_row-0' does not exist
1729,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-09-01_end_2023-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-54dot73516874515821_-10dot297398101862004_-54dot72761554172382_-10dot28870040630372/eopatch_0_col-0_row-0,root path '/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-09-01_end_2023-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-54dot73516874515821_-10dot297398101862004_-54dot72761554172382_-10dot28870040630372/eopatch_0_col-0_row-0' does not exist
1730,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-09-01_end_2023-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-56dot044463271762424_-14dot240193715391007_-56dot03959732905343_-14dot232268540890747/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
1731,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-09-01_end_2023-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-57dot101510866585855_-11dot223913976953492_-57dot093235156577165_-11dot205934180220485/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
1732,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-09-01_end_2023-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-57dot07743601697145_-11dot194276081526956_-57dot06744471731772_-11dot18347629811749/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
1733,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-09-01_end_2023-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-57dot09549215418226_-11dot208020305373985_-57dot088375463437714_-11dot196142543623589/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
1734,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-09-01_end_2023-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-57dot63016941129018_-11dot736409355493086_-57dot61697015384948_-11dot728547537538766/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
1735,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-09-01_end_2023-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-56dot97161447650219_-13dot455335651655798_-56dot95334864864549_-13dot437169682916569/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
1736,/agrilearn_app/datasets/soja_2022_2023/eopatch/input_model-v2/start_2022-09-01_end_2023-05-01_monitoring_class_SOYBEAN_epsg4326_minxymaxxy_-56dot98823330925839_-13dot456054303883086_-56dot975277569167055_-13dot441661259337156/eopatch_0_col-0_row-0,index 0 is out of bounds for axis 0 with size 0
